CODIGO_EMPRESA;CODIGO_CENTRO_CUSTO;NOME_CENTRO_CUSTO;DATA_CRIACAO;DATA_EXTINCAO
008;566;GRAZZIOTIN SA PORTO ALEGRE 566;2018-08-10;2999-12-31
008;325;HORIZONTINA;2005-09-29;2999-12-31
008;821;DIRETORIA ARRAZZO;1980-01-01;2024-07-31
008;418;SAO MATEUS DO SUL;2009-08-01;2999-12-31
008;417;PASSO FUNDO;2009-08-01;2999-12-31
008;383;MARAVILHA;2007-10-01;2999-12-31
008;340;JAGUARI;2006-07-01;2999-12-31
008;086;PELOTAS;1980-01-01;2024-07-31
008;246;ALEGRETE;1980-01-01;2999-12-31
008;420;PELOTAS;2009-04-01;2999-12-31
008;771;TESOURARIA;1980-01-01;2024-07-31
008;907;E- COMERCE;2023-01-01;2999-12-31
008;636;CHARQUEADAS;2023-10-01;2999-12-31
008;186;SANTA ROSA;1980-01-01;2999-12-31
008;339;ROLANTE;2006-06-01;2999-12-31
008;189;CANOAS;1980-01-01;2999-12-31
008;7569;CIA - FRAIBURGO;2020-05-02;2999-12-31
008;635;SANTO ANGELO;2023-08-01;2999-12-31
008;240;LAJEADO;1980-01-01;2999-12-31
008;082;TRIUNFO;1980-01-01;2999-12-31
008;7485;CIA - CACADOR;2020-05-02;2999-12-31
008;574;VERANOPOLIS;2018-08-21;2999-12-31
008;099;LAGES;1980-01-01;2024-07-31
008;7609;CIA PONTA GROSSA 7609;2021-11-01;2999-12-31
008;646;CACHOEIRA DO SUL;2024-07-01;2999-12-31
008;750;DIRETORIA FINANCEIRA;2017-05-01;2024-07-31
008;320;VACARIA;1980-01-01;2999-12-31
008;7478;CIA - TUPANCIRETA;2020-05-02;2999-12-31
008;483;SAO MIGUEL D OESTE;2012-10-01;2999-12-31
008;485;CACADOR;2012-11-01;2999-12-31
008;331;SANTANA DO LIVRAMENTO;2006-03-02;2999-12-31
008;7570;CIA MARAVILHA;2020-06-01;2999-12-31
008;377;GETULIO VARGAS;2007-08-01;2999-12-31
008;513;SANTO CRISTO;2014-04-01;2999-12-31
008;7543;CIA GARIBALDI;2020-12-01;2999-12-31
008;769;TECNOLOGIA E INOVAÇÃO;2025-04-01;2999-12-31
008;555;CAMAQUA;2017-11-09;2999-12-31
008;145;URUGUAIANA;1980-01-01;2999-12-31
008;286;SANTA CRUZ;1980-01-01;2999-12-31
008;159;PASSO FUNDO;1980-01-01;2999-12-31
008;359;VIDEIRA;2006-11-01;2999-12-31
008;227;CACADOR;1980-01-01;2999-12-31
008;7642;CIA TRAMANDAI 7642;2024-06-01;2999-12-31
008;451;SAO BORJA;2011-04-01;2999-12-31
008;499;PASSO FUNDO;2013-09-01;2999-12-31
008;661;ITAQUI;2025-07-21;2999-12-31
008;327;BUTIA;2006-02-01;2999-12-31
008;442;FAXINAL DO SOTURNO;2010-10-01;2999-12-31
008;496;RIO PARDO;2013-09-01;2999-12-31
008;593;FONTOURA XAVIER;2021-06-01;2999-12-31
008;590;GUAPORÉ;2021-09-01;2999-12-31
008;282;SAO GABRIEL;1980-01-01;2999-12-31
008;7536;CIA GETULIO VARGAS 7536;2020-06-01;2999-12-31
008;405;ITAQUI;2008-07-01;2999-12-31
008;818;DEPOSITO GRAZZIOTIN;1980-01-01;2024-07-31
008;762;JURIDICA;1980-01-01;2024-07-31
008;273;GUAIBA;1980-01-01;2999-12-31
008;020;FREDERICO WESTPHALEN;1980-01-01;2024-07-31
008;7044;CIA PASSO FUNDO;2020-07-01;2999-12-31
008;037;SAO BORJA;1980-01-01;2024-07-31
008;088;XANXERE;1980-01-01;2024-07-31
008;084;BENTO GONCALVES;1980-01-01;2999-12-31
008;071;PORTO ALEGRE;1980-01-01;2999-12-31
008;495;LAJEADO;2013-07-01;2999-12-31
008;7629;CIA ITAJAI 7629;2022-06-01;2999-12-31
008;492;PIRATINI;2013-06-01;2999-12-31
008;146;ARARANGUA;1980-01-01;2999-12-31
008;517;DOIS VIZINHOS;2014-07-01;2999-12-31
008;624;CAMPOS NOVOS;2022-04-01;2999-12-31
008;640;PLANALTO;2023-11-01;2999-12-31
008;018;ERECHIM II;1980-01-01;2024-07-31
008;572;SAO MIGUEL DO OESTE;2018-05-29;2999-12-31
008;313;SAO SEPE;1980-01-01;2999-12-31
008;501;ERECHIM;2013-10-01;2999-12-31
008;500;CAXIAS DO SUL;2013-09-01;2999-12-31
008;252;IJUI;1980-01-01;2999-12-31
008;7015;CIA SANTO ANGELO 7015;2023-08-01;2999-12-31
008;410;SAO SEPE;2008-10-01;2999-12-31
008;649;SANTA ROSA;2024-10-01;2999-12-31
008;573;SANTO ANTONIO DO SUDOESTE;2018-06-20;2999-12-31
008;528;BARROS CASSAL;2014-11-01;2999-12-31
008;512;ERECHIM;2014-04-01;2999-12-31
008;288;MAFRA;1980-01-01;2999-12-31
008;321;CRUZ ALTA;1980-01-01;2999-12-31
008;536;GETULIO VARGAS;2015-11-01;2999-12-31
008;532;CASCA;2015-05-01;2999-12-31
008;434;CANOINHAS;2010-02-01;2999-12-31
008;7587;CIA ARROIO DO TIGRE;2020-10-01;2999-12-31
008;346;CANOAS;2006-08-01;2999-12-31
