codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;nome_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial
008;511;;GRZ HORIZONTINA;URUGUAI;SALA 02;1122;3838;RS;4309605;0;0;;F;1;92012467051165;;;;4781400;4781;;0;4781400;;R;98920000
008;512;;PRM ERECHIM;JOSE OSCAR SALAZAR;;1113;522;RS;4307005;0;0;;F;1;92012467051246;;;;4781400;4781;;0;4781400;;AV;99713042
008;513;;TOT SANTO CRISTO;DOM PEDRO II;SALA TERREA;2125;4124;RS;4317905;0;0;;F;1;92012467051327;;;;4759899;4781;;0;4759899;;R;98960000
008;514;;PRM PASSO FUNDO;MOACIR DA MOTTA FORTE;SALA 02;06;12;RS;4314100;0;0;;F;1;92012467051408;;;;4781400;4781;;0;4781400;;AV;99040010
008;515;;TOT PASSO FUNDO;MOACIR DA MOTTA FORTE;;186;12;RS;4314100;0;0;;F;1;92012467051599;;;;4759899;4781;;0;4759899;;AV;99040010
008;516;;TOT ESTEIO;PRESIDENTE VARGAS;;1698;189;RS;4307708;0;0;;F;1;92012467051670;;;;4759899;4781;;0;4759899;;AV;93260048
008;517;;PRM DOIS VIZINHOS;28 DE NOVEMBRO;;259;3558;PR;4107207;0;0;;F;1;92012467051750;;;;4781400;4781;;0;4781400;;R;85660000
008;518;;PRM ITAIOPOLIS;GETULIO VARGAS;;227;6212;SC;4208104;0;0;;F;1;92012467051831;;;;4781400;4781;;0;4781400;;AV;89340970
008;519;;TOT MARAU;JULIO BORELA;SALA 01 E 02;1312;391;RS;4311809;0;0;;F;1;92012467051912;;;;4759899;5232;;0;4759899;;AV;99150970
008;520;;GRZ NONOAI;ROCHA LOIRES;;386;4482;RS;4312708;0;0;;F;1;92012467052056;;;;4781400;4781;;0;4781400;;AV;99600000
008;521;;PRM PINHEIRO MACHADO;NICO DE OLIVEIRA;;595;6219;RS;4314506;0;0;;F;1;92012467052137;;;;4781400;4781;;0;4781400;;R;96470000
008;522;;PRM PASSO FUNDO;SETE DE SETEMBRO;EDIF CULTURA;81;2;RS;4314100;0;0;;F;1;92012467052218;;;;4781400;4781;;0;4781400;;R;99010121
008;523;;GRZ CARAZINHO;FLORES DA CUNHA;;1421;63;RS;4304705;0;0;;F;1;92012467052307;;;;4781400;4781;;0;4781400;;AV;99500000
008;524;;GRZ TEUTONIA;TRES DE OUTUBRO;;207;4767;RS;4321451;0;0;;F;1;92012467052480;;;;4781400;4781;;0;4781400;;R;95890000
008;525;;FRG PASSO FUNDO;GENERAL NETTO;LOJA01;383;2;RS;4314100;0;0;;F;1;92012467052560;;;;4781400;4781;;0;4781400;;AV;99010023
008;526;;FRG SANTA MARIA;DR BOZANO;;1099;18;RS;4316907;0;0;;F;1;92012467052641;;;;4781400;4781;;0;4781400;;R;97015003
008;527;;PRM ESTRELA;MARECHAL FLORIANO;;226;2581;RS;4307807;0;0;;F;1;92012467052722;;;;4781400;4781;;0;4781400;;R;95880000
008;528;;PRM BARROS CASSAL;MAURICIO CARDOSO;SALA 03;1062;6319;RS;4302006;0;0;;F;1;92012467052803;;;;4781400;4781;;0;4781400;;AV;99360000
008;529;;GRZ PASSO FUNDO;BRASIL OESTE;LOJA 02;593;2;RS;4314100;0;0;;F;1;92012467052994;;;;4781400;4781;;0;4781400;;AV;99025001
008;530;;GRZ SANTA MARIA;PREFEITO EVANDRO BEHR;;6997;112;RS;4316907;0;0;;F;1;92012467053028;;;;4781400;4781;;0;4781400;;AV;97110800
008;531;;GRZ PALMEIRA DAS MISSOES;INDEPENDENCIA;;1355;130;RS;4313706;0;0;;F;1;92012467053109;;;;4781400;4781;;0;4781400;;AV;98300000
008;532;;PRM CASCA;TIRADENTES;SALA 101;632;6349;RS;4304903;0;0;;F;1;92012467053290;;;;4781400;4781;;0;4781400;;R;99260000
008;533;;PRM SANTA MARIA;PREFEITO EVANDRO BEHR;;6491;112;RS;4316907;0;0;;F;1;92012467053370;;;;4781400;4781;;0;4781400;;AV;97110800
008;534;;TOT LAJEADO;CORONEL FRANCISCO OSCAR KARNAL;SALA 01;235;1123;RS;4311403;0;0;;F;1;92012467053451;;;;4759899;4781;;0;4759899;;R;95900000
008;535;;PRM PALMEIRA DAS MISSOES;INDEPENDENCIA;SALA 02;1030;130;RS;4313706;0;0;;F;1;92012467053532;;;;4781400;4781;;0;4781400;;AV;98300000
008;536;;GRZ GETULIO VARGAS;DR JOAO CARLOS MACHADO;;275;4523;RS;4308904;0;0;;F;1;92012467053613;;;;4781400;4781;;0;4781400;;R;99900000
008;537;;PRM SANTO ANGELO;SAGRADA FAMILIA;Sala 02;1141;3715;RS;4317509;0;0;;F;1;92012467053702;;;;4781400;4781;;0;4781400;;AV;98807345
008;538;;TOT GETULIO VARGAS;JOAO CARLOS MACHADO;;215;4523;RS;4308904;0;0;;F;1;92012467053885;;;;4759899;4781;;0;4759899;;R;99900000
008;539;;PRM BENTO GONCALVES;JULIO DE CASTILHOS;;331;36;RS;4302105;0;0;;F;1;92012467053966;;;;4781400;4781;;0;4781400;;R;95700070
008;540;;GRZ SOLEDADE;JULIO DE CASTILHOS;;;1175;RS;4320800;0;0;;F;1;92012467054008;;;;4781400;4781;;0;4781400;;AV;99300000
008;541;;GRZ ROSARIO DO SUL;JOAO BRASIL;;1309;62;RS;4316402;0;0;;F;1;92012467054180;;;;4781400;4781;;0;4781400;;R;97590000
008;542;;PRM PALMITINHO;DUQUE DE CAXIAS;SALA 102;570;6523;RS;4313805;0;0;;F;1;92012467054261;;;;4781400;4781;;0;4781400;;R;98430000
008;543;;PRM GARIBALDI;EMIDIO JACINTO FERREIRA;SALA 02;110;6552;RS;4308607;0;0;;F;1;92012467054342;;;;4781400;4781;;0;4781400;;R;95720000
008;544;;GRZ GARIBALDI;BUARQUE DE MACEDO;;3341;6552;RS;4308607;0;0;;F;1;92012467054423;;;;4781400;4781;;0;4781400;;R;95720000
008;545;;PRM SELBACH;VINTE E CINCO DE JULHO;;590;6551;RS;4320305;0;0;;F;1;92012467054504;;;;4781400;4781;;0;4781400;;AV;99450000
008;546;;PRM RIO GRANDE;GENERAL BACELAR;;254;1090;RS;4315602;0;0;;F;1;92012467054695;;;;4781400;4781;;0;4781400;;R;96200370
008;547;;PRM GUARANI DAS MISSOES;SAO LUIS;;1241;6620;RS;4309506;0;0;;F;1;92012467054776;;;;4781400;4781;;0;4781400;;R;97950000
008;548;;GRZ PANAMBI;SETE DE SETEMBRO;SALA TERREA;200;2528;RS;4313904;0;0;;F;1;92012467054857;;;;4781400;4781;;0;4781400;;R;98280000
008;549;;PASSO FUNDO;VALENTIN GRAZZIOTIN;;177;10;RS;4314100;0;0;;F;1;92012467054938;;;;4781400;4781;;0;4781400;;R;99060030
008;550;;PRM PLANALTO;DOM PEDRO II;;802;6628;RS;4314704;0;0;;F;1;92012467055071;;;;4781400;4781;;0;4781400;;R;98470000
008;551;;PRM BOA VISTA DO BURICA;SAO JOSE;;1064;1179;RS;4302204;0;0;;F;1;92012467055152;;;;4781400;4781;;0;4781400;;AV;98918000
008;552;;PRM CATUIPE;RIO BRANCO;;752;6625;RS;4305009;0;0;;F;1;92012467055233;;;;4781400;4781;;0;4781400;;AV;98770000
008;553;;PRM BOSSOROCA;CORONEL JOAO LUIZ NASCIMENTO;SALA 1B;490;6659;RS;4302501;0;0;;F;1;92012467055314;;;;4781400;4781;;0;4781400;;R;97850000
008;554;;TOT BAGE;AV SETE SETEMBRO;SL COMERCIAL;765;256;RS;4301602;0;0;;F;1;92012467055403;;;;4759899;4781;;0;4759899;;R;96400370
008;555;;GRZ CAMAQUA;PRESIDENTE VARGAS;;617;156;RS;4303509;0;0;;F;1;92012467055586;;;;4781400;4781;;0;4781400;;R;96780072
008;556;;GRZ TAPERA;XV DE NOVEMBRO;;1050;5655;RS;4321006;0;0;;F;1;92012467055667;;;;4781400;4781;;0;4781400;;AV;99490000
008;557;;PRM SALTO DO JACUI;PIO DOZE;SALA 02;1761;6673;RS;4316451;0;0;;F;1;92012467055748;;;;4759899;4781;;0;4759899;;AV;99440000
008;558;;GRZ PIRAI DO SUL;IZIDORO DOIN;SALA 02;178;4618;PR;4119400;0;0;;F;1;92012467055829;;;;4781400;4781;;0;4781400;;R;84240000
008;559;;PRM HERVAL DOESTE;PINHEIRO MACHADO;;71;6663;SC;4206702;0;0;;F;1;92012467055900;;;;4781400;4781;;0;4781400;;TRAV;89610000
008;560;;PRM CUNHA PORA;RUI BARBOSA;SALA 02;202;6683;SC;4204707;0;0;;F;1;92012467056043;;;;4781400;4781;;0;4781400;;R;89890000
008;561;;TOT CANGUCU;JULIO DE CASTILHOS;;1619;3531;RS;4304507;0;0;;F;1;92012467056124;;;;4759899;4781;;0;4759899;;R;96600000
008;562;;PRM CARLOS BARBOSA;RIO BRANCO;LOJA TERREA;88;6704;RS;4304804;0;0;;F;1;92012467056205;;;;4781400;4781;;0;4781400;;R;95185000
008;563;;GRZ SAO SEBASTIAO DO CAI;PINHEIRO MACHADO;SALA 2A E 3A;777;4272;RS;4319505;0;0;;F;1;92012467056396;;;;4781400;4781;;0;4781400;;R;95760000
008;564;;PRM CORONEL FREITAS;SANTA CATARINA;TERREO;1200;6697;SC;4204400;0;0;;F;1;92012467056477;;;;4781400;4781;;0;4781400;;AV;89840000
008;565;;GRZ SAO MIGUEL DO OESTE;SANTOS DUMONT;SALA 1;519;1730;SC;4217204;0;0;;F;1;92012467056558;;;;4781400;4781;;0;4781400;;R;89900000
008;566;;GZT PORTO ALEGRE;VOLUNTARIO DA PATRIA;LOJA 170;294;52;RS;4314902;0;0;;F;1;92012467056639;;;;4781400;4781;;0;4781400;;R;90030001
