codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_nova_empresa;codigo_novo_cadastro;codigo_nova_filial;tipo_admissao;numero_ficha_registro;tipo_admissao_colaborador
8;1;80308;01/11/2004;8;80308;020;2;0;1
8;1;80309;01/12/2004;8;80309;125;2;0;1
8;1;80310;01/11/2004;8;80310;256;2;0;1
8;1;80311;01/11/2004;8;80311;261;2;0;1
8;1;80312;03/11/2004;8;80312;014;2;0;1
8;1;80313;03/11/2004;8;80313;317;2;0;1
8;1;80314;08/11/2004;8;80314;151;2;0;1
8;1;80315;17/11/2004;8;80315;024;2;0;1
8;1;80316;18/11/2004;8;80316;001;2;0;1
8;1;80317;22/11/2004;8;80317;254;2;0;1
8;1;80318;01/12/2004;8;80318;032;2;0;1
8;1;80319;01/12/2004;8;80319;080;2;0;1
8;1;80320;01/12/2004;8;80320;043;2;0;1
8;1;80321;11/02/2003;8;80321;025;2;0;1
8;1;80322;10/12/2004;8;80322;019;2;0;1
8;1;80323;10/12/2004;8;80323;247;2;0;1
8;1;80324;10/12/2004;8;80324;100;2;0;1
8;1;80325;10/12/2004;8;80325;100;2;0;1
8;1;80326;10/12/2004;8;80326;100;2;0;1
8;1;80327;10/12/2004;8;80327;100;2;0;1
8;1;80328;10/12/2004;8;80328;100;2;0;1
8;1;80329;01/12/2004;8;80329;028;2;0;1
8;1;80330;01/12/2004;8;80330;051;2;0;1
8;1;80331;01/12/2004;8;80331;082;2;0;1
8;1;80332;01/12/2004;8;80332;095;2;0;1
8;1;80333;01/12/2004;8;80333;124;2;0;1
8;1;80334;01/12/2004;8;80334;186;2;0;1
8;1;80335;01/12/2004;8;80335;143;2;0;1
8;1;80336;02/12/2004;8;80336;009;2;0;1
8;1;80337;02/12/2004;8;80337;009;2;0;1
8;1;80338;03/12/2004;8;80338;034;2;0;1
8;1;80339;01/12/2004;8;80339;243;2;0;1
8;1;80340;01/12/2004;8;80340;306;2;0;1
8;1;80341;01/12/2004;8;80341;307;2;0;1
8;1;80342;16/12/2004;8;80342;296;2;0;1
8;1;80343;10/01/2005;8;80343;183;2;0;1
8;1;80348;10/10/2005;8;80348;053;1;0;1
276;1;80352;16/12/2004;276;80352;002;2;0;1
8;1;80353;17/01/2005;8;80353;241;2;0;1
8;1;80354;11/02/2005;8;80354;025;2;0;1
8;1;80355;01/03/2005;8;80355;022;2;0;1
8;1;80356;07/03/2005;8;80356;282;2;0;1
4;1;80357;16/03/2005;4;80357;001;2;0;1
4;1;80358;16/03/2005;4;80358;001;2;0;1
8;1;80359;08/03/2005;8;80359;261;2;0;1
8;1;80360;23/03/2005;8;80360;016;2;0;1
8;1;80361;21/03/2005;8;80361;004;2;0;1
8;1;80362;01/04/2005;8;80362;061;2;0;1
8;1;80363;01/04/2005;8;80363;093;2;0;1
8;1;80364;01/04/2005;8;80364;252;2;0;1
8;1;80365;01/04/2005;8;80365;024;2;0;1
8;1;80366;05/04/2005;8;80366;264;2;0;1
8;1;80367;16/05/2005;8;80367;163;2;0;1
8;1;80368;01/06/2005;8;80368;244;2;0;1
8;1;80369;06/06/2005;8;80369;289;2;0;1
8;1;80370;14/06/2005;8;80370;309;2;0;1
8;1;80371;08/06/2005;8;80371;046;2;0;1
8;1;80372;03/11/1998;8;80372;025;2;1;1
8;1;80373;08/03/1999;8;80373;159;2;1;1
8;1;80374;11/07/2005;8;80374;243;2;0;1
8;1;80375;18/07/2005;8;80375;080;2;0;1
8;1;80376;01/08/2005;8;80376;145;2;0;1
8;1;80377;05/08/2005;8;80377;282;2;0;1
8;1;80378;05/09/2005;8;80378;043;2;0;1
8;1;80379;05/09/2005;8;80379;051;2;0;1
8;1;80380;19/09/2005;8;80380;309;2;0;1
8;1;80381;05/10/2005;8;80381;100;2;0;1
8;1;80382;01/10/2005;8;80382;093;1;0;1
8;1;80383;05/10/2005;8;80383;121;1;0;1
8;1;80385;01/12/2005;8;80385;145;1;0;1
8;1;80386;05/12/2005;8;80386;022;1;0;1
8;1;80387;04/01/2006;8;80387;022;1;0;1
8;1;80388;11/01/2006;8;80388;046;1;0;1
4;1;80389;08/02/2006;4;80389;001;2;0;1
8;1;80390;01/02/2006;8;80390;290;1;0;1
8;1;80391;15/02/2006;8;80391;121;2;0;1
8;1;80392;13/02/2006;8;80392;196;2;0;1
8;1;80393;06/03/2006;8;80393;011;1;0;1
8;1;80394;16/03/2006;8;80394;041;1;0;1
8;1;80395;07/03/2006;8;80395;080;2;0;1
8;1;80396;02/05/2006;8;80396;001;2;0;1
8;1;80397;19/06/2006;8;80397;053;1;0;1
8;1;80398;14/07/2006;8;80398;100;1;0;1
8;1;80399;03/08/2006;8;80399;261;2;0;1
8;1;80400;01/09/2006;8;80400;022;1;0;1
8;1;80401;05/12/2006;8;80401;034;1;0;1
8;1;80402;12/12/2006;8;80402;022;1;0;1
8;1;80403;08/01/2007;8;80403;100;1;0;1
8;1;80900;01/04/1984;8;80900;296;2;5;1
8;1;80900;14/03/2000;8;80900;296;2;5;1
8;1;81329;01/04/1988;8;81329;001;2;0;1
8;1;81329;01/11/2003;8;81329;001;2;0;1
8;1;81876;30/01/1998;8;81876;001;2;8187;1
8;1;83071;01/07/1984;8;83071;089;2;7;1
8;1;84069;01/09/1987;8;84069;001;2;5137;1
8;1;84069;01/11/2003;8;84069;001;2;5137;1
8;1;84069;04/07/2011;8;84069;001;2;5137;1
8;1;85171;24/09/1996;8;85171;025;2;8517;1
8;1;85383;01/07/1989;8;85383;013;2;749;1
8;1;86941;24/09/1996;8;86941;037;2;8694;1
8;1;87564;01/10/1984;8;87564;092;2;8756;1
8;1;88773;24/09/1996;8;88773;171;2;0;1
8;1;92207;01/09/1987;8;92207;055;2;48;1
8;1;93645;24/09/1996;8;93645;124;2;9364;1
8;1;93921;01/01/1990;8;93921;079;2;22;1
8;1;95401;01/08/1986;8;95401;143;2;22;1
8;1;97896;01/06/1985;8;97896;047;2;181;1
6;1;100000;18/05/1989;6;100000;001;2;8;1
6;1;100013;01/12/1998;6;100013;001;2;10001;1
6;1;100022;18/05/1989;6;100022;001;2;0;1
8;1;100871;24/09/1996;8;100871;183;2;0;1
8;1;102521;01/09/1985;8;102521;038;2;21;1
8;1;105724;01/11/1985;8;105724;202;2;11;1
8;1;106712;24/09/1996;8;106712;025;2;10671;1
8;1;107255;24/09/1996;8;107255;007;2;10725;1
8;1;107573;24/09/1996;8;107573;063;2;10757;1
8;1;109266;01/11/2003;8;109266;001;2;4349;1
8;1;109266;10/08/1998;8;109266;001;2;4349;1
8;1;109266;23/06/1997;8;109266;001;2;4349;1
8;1;109576;01/10/1997;8;109576;001;2;2609;1
8;1;109576;01/11/1997;8;109576;001;2;2609;1
8;1;109576;01/11/2003;8;109576;001;2;2609;1
8;1;109576;01/12/1985;8;109576;001;2;2609;1
8;1;110604;03/05/1982;8;110604;001;2;11060;1
8;1;112194;01/02/1986;8;112194;001;2;2640;1
8;1;112194;01/06/1998;8;112194;001;2;2640;1
8;1;112194;01/11/2003;8;112194;001;2;2640;1
8;1;112577;24/09/1996;8;112577;071;2;11257;1
8;1;113239;01/09/1987;8;113239;050;2;99;1
8;1;113778;01/03/1986;8;113778;013;2;1539;1
8;1;113964;01/07/1987;8;113964;001;2;31;1
8;1;113964;01/08/2001;8;113964;001;2;31;1
8;1;115274;01/05/1986;8;115274;001;2;11527;1
8;1;115703;24/09/1996;8;115703;061;2;11570;1
8;1;116017;01/05/1990;8;116017;112;2;12;1
8;1;116017;01/10/1996;8;116017;112;2;12;1
8;1;116017;24/09/1996;8;116017;112;2;12;1
8;1;116131;01/11/2003;8;116131;566;2;52;1
8;1;116131;18/06/2018;8;116131;566;2;52;1
