codigo_empresa;codigo_centro_custo;nome_centro_custo;data_criacao;data_extincao;texto_centro_custo
8;434;FILIAL  434 - CANOINHAS;01/02/2010;;434
8;435;FILIAL  435 - CANOINHAS;01/02/2010;;435
8;436;FILIAL  436 - OTACILIO COSTA;01/01/2010;;436
8;437;FILIAL  437 - SAO LUIZ GONZAGA;01/03/2010;;437
8;438;FILIAL  438 - IBIRUBA;01/03/2010;;438
8;439;FILIAL  439 - TRES PASSOS;01/05/2010;;439
8;440;FILIAL  440 - ABELARDO LUZ;01/08/2010;;440
8;441;FILIAL  441 - LAGES;01/08/2010;;441
8;442;FILIAL  442 - FAXINAL DO SOTURNO;01/10/2010;;442
8;443;FILIAL  443 - SANTA BARBARA DO SUL;01/11/2010;;443
8;444;FILIAL  444 - SOBRADINHO;01/11/2010;;444
8;445;FILIAL  445 - SANTIAGO;01/12/2010;;445
8;446;FILIAL  446 - JULIO DE CASTILHOS;01/01/2011;;446
8;447;FILIAL  447 - URUGUAIANA;01/01/2011;;447
8;448;FILIAL  448 - TAQUARA;01/01/2011;;448
8;449;FILIAL  449 - SAO JOAQUIM;01/02/2011;;449
8;450;FILIAL  450 - FAXINAL DOS GUEDES;01/04/2011;;450
8;451;FILIAL  451 - SAO BORJA;01/04/2011;;451
8;452;FILIAL  452 - SANTO AUGUSTO;01/04/2011;;452
8;453;FILIAL  453 - RODEIO BONITO;01/05/2011;;453
8;454;FILIAL  454 - ARVOREZINHA;01/04/2011;;454
8;455;FILIAL  455 - ITAQUI;01/05/2011;;455
8;456;FILIAL  456 - ERVAL SECO;01/06/2011;;456
8;457;FILIAL  457 - SAO DOMINGOS;01/06/2011;;457
8;458;FILIAL  458 - ENCANTADO;01/08/2011;;458
8;459;FILIAL  459 - SAO GABRIEL;01/08/2011;;459
8;460;FILIAL  460 - SOLEDADE;01/09/2011;;460
8;461;FILIAL  461 - VENANCIO AIRES;01/09/2011;;461
8;462;FILIAL  462 - TUPANCIRETA;01/11/2011;;462
8;463;FILIAL  463 - CAMAQUA;01/10/2011;;463
8;464;FILIAL  464 - FREDERICO WESTPHALEN;01/11/2011;;464
8;465;FILIAL  465 - SAO JERONIMO;01/11/2011;;465
8;466;FILIAL  466 - AGUDO;01/02/2012;;466
8;467;FILIAL  467 - ALEGRETE;01/03/2012;;467
8;468;FILIAL  468 - CRUZ ALTA;01/03/2012;;468
8;469;FILIAL  469 - CARAZINHO;01/03/2012;;469
8;470;FILIAL  470 - CHAPECO;01/03/2012;;470
8;471;FILIAL  471 - ESPUMOSO;01/03/2012;;471
