codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;dias_aviso_indenizado;dias_aviso_reavido;dias_saldo_salarios;dias_fim_contrato_antecipado;salario_final_aviso;saldo_anterior_fgts;homologacao_dissidio_coletivo;motivo_complementar;salario_base;integrar_rescisao;aviso_previo;dias_aviso_indenizado_acrescimo;dias_aviso_reavido_acrescimo;termo_quitacao_trct
8;1;219762;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;220302;15/10/2002;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;220426;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;220434;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;221333;16/09/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;221414;17/08/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;221601;31/01/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;221813;30/04/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;222178;02/02/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;222402;30/04/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;222411;14/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;222691;02/09/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;222739;17/08/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;223077;14/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;223174;11/03/2004;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;224014;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;224286;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;224332;28/07/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;225223;06/05/2025;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;225291;21/07/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;225321;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;226262;04/05/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;226840;24/03/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;228273;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;228567;15/01/2002;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;228940;22/01/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;229032;31/08/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;229130;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;229288;09/10/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;229971;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;230006;28/09/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;230090;31/03/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;230651;13/03/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;230839;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;231878;14/04/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;232386;29/08/2005;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;232416;16/09/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;232475;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
