codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
8;094;GRAZZIOTIN S/A;TOT - SAO BORJA 094;EDDIE FREIRE NUNES;;1999;165;RS;4318002;55;0;;F;1;092012467009479;;;;4759899;5232;;;4759899;1;R;97670000;GRAZZIOTIN S A SAO BORJA          
8;095;GRAZZIOTIN S/A;PRM - SAO BORJA 095;GENERAL MARQUES;;850;165;RS;4318002;55;0;;F;1;092012467009550;;;;4781400;5232;;;4781400;1;R;97670000;GRAZZIOTIN S A SAO BORJA          
8;096;GRAZZIOTIN S/A;PRM - SANTA CRUZ DO SUL 096;VINTE E OITO DE SETEMBRO;;396;126;RS;4316808;55;0;;F;1;092012467009630;;;;4781400;5232;;;4781400;1;R;96810042;GRAZZIOTIN S A SANTA CRUZ         
8;097;GRAZZIOTIN S/A;TOT - PASSO FUNDO 097;GENERAL CANABARRO;;718;2;RS;4314100;55;0;;F;1;092012467009711;;;;4759899;5232;;;4759899;1;R;99010190;GRAZZIOTIN S A TOTTAL             
8;099;GRAZZIOTIN S/A;TOT - LAGES 099;LUIZ DE CAMOES;;683;338;SC;4209300;55;0;;F;1;092012467009983;;;;4759899;5232;;;4759899;1;AV;88523000;GRAZZIOTIN S A LAGES              
8;100;GRAZZIOTIN S/A;GRZ - URUGUAIANA 100;DOMINGOS DE ALMEIDA;PREDIO;1932;262;RS;4322400;55;0;;F;1;092012467010051;;;;4781400;5232;;;4781400;1;R;97501516;GRAZZIOTIN S A URUGUAIANA         
8;105;GRAZZIOTIN S/A;TOT - MONTENEGRO 105;RAMIRO BARCELOS;;2519;255;RS;4312401;55;0;;F;1;092012467010566;;;;4759899;5232;;;4759899;1;R;95780000;GRAZZIOTIN S A MONTENEGRO         
8;107;GRAZZIOTIN S/A;TOT - FARROUPILHA 107;RUA;DE MAIO,351;13;1518;RS;4307906;55;0;;F;1;092012467010728;;;;4781400;5232;;;4781400;1;R;95180000;GRAZZIOTIN S A FARROUPILHA        
8;108;GRAZZIOTIN S/A;TOT - SANTIAGO 108;GETULIO VARGAS;;1395;179;RS;4317400;55;0;;F;1;092012467010809;;;;4759899;5232;;;4759899;1;AV;97700065;GRAZZIOTIN S A SANTIAGO           
8;111;GRAZZIOTIN S/A;TOT - CAMPOS NOVOS 111;AV.JUSCELINO KUBITSCHEK;;584;223;SC;4203600;55;0;;F;1;092012467011104;;;;4781400;5232;;;4781400;1;R;89620000;GRAZZIOTIN S A CAMPOS NOVOS       
8;112;GRAZZIOTIN S/A;TOT - IJUI 112;RUA DO COMERCIO;;33;250;RS;4310207;55;0;;F;1;092012467011295;;;;4759899;5232;;;4759899;1;R;98700000;GRAZZIOTIN S A IJUI               
8;113;GRAZZIOTIN S/A;TOT - TRES PASSOS 113;RUA DALTRO FILHO;;753;237;RS;4321907;55;0;;F;1;092012467011376;;;;4759899;5232;;;4759899;1;R;98600000;GRAZZIOTIN S A TRES PASSOS        
