codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;276286;06/11/1995;2;1;;;06/11/1995;276286;;1;N;1
8;1;276294;06/11/1995;2;1;;;06/11/1995;276294;;1;N;1
8;1;276308;06/11/1995;2;1;;;06/11/1995;276308;;1;N;1
8;1;276316;06/11/1995;2;1;;;06/11/1995;276316;;1;N;1
8;1;276324;06/11/1995;2;1;;;06/11/1995;276324;;1;N;1
8;1;276332;06/11/1995;2;1;;;06/11/1995;276332;;1;N;1
8;1;276341;06/11/1995;2;1;;;06/11/1995;276341;;1;N;1
8;1;276359;06/11/1995;2;1;;;06/11/1995;276359;;1;N;1
8;1;276367;06/11/1995;2;1;;;06/11/1995;276367;;1;N;1
8;1;276375;06/11/1995;2;1;;;06/11/1995;276375;;1;N;1
8;1;276383;06/11/1995;2;1;;;06/11/1995;276383;;1;N;1
8;1;276405;03/11/1995;2;1;;;03/11/1995;276405;;1;N;1
8;1;276413;06/11/1995;2;1;;;06/11/1995;276413;;1;N;1
8;1;276430;13/11/1995;2;1;;;13/11/1995;276430;;1;N;1
8;1;276448;13/11/1995;2;1;;;13/11/1995;276448;;1;N;1
8;1;276456;13/11/1995;2;1;;;13/11/1995;276456;;1;N;1
8;1;276464;01/11/1995;2;1;;;01/11/1995;276464;;1;N;1
8;1;276472;06/11/1995;2;1;;;06/11/1995;276472;;1;N;1
8;1;276481;01/11/1995;2;1;;;01/11/1995;276481;;1;N;1
8;1;276499;20/11/1995;2;1;;;20/11/1995;276499;;1;N;1
8;1;276502;16/11/1995;2;1;;;16/11/1995;276502;;1;N;1
8;1;276511;01/11/1995;2;1;;;01/11/1995;276511;;1;N;1
8;1;276529;10/11/1995;2;1;;;10/11/1995;276529;;1;N;1
8;1;276537;01/11/1995;2;1;;;01/11/1995;276537;;1;N;1
8;1;276545;16/11/1995;2;1;;;16/11/1995;276545;;1;N;1
8;1;276553;16/11/1995;2;1;;;16/11/1995;276553;;1;N;1
8;1;276570;01/11/1995;2;1;;;01/11/1995;276570;;1;N;1
8;1;276588;01/11/1995;2;1;;;01/11/1995;276588;;1;N;1
8;1;276596;01/11/1995;2;1;;;01/11/1995;276596;;1;N;1
8;1;276600;10/11/1995;2;1;;;10/11/1995;276600;;1;N;1
8;1;276618;01/11/1995;2;1;;;01/11/1995;276618;;1;N;1
8;1;276626;01/11/1995;2;1;;;01/11/1995;276626;;1;N;1
8;1;276634;01/11/1995;2;1;;;01/11/1995;276634;;1;N;1
8;1;276642;01/12/1995;2;1;;;01/12/1995;276642;;1;N;1
8;1;276651;06/11/1995;2;1;;;06/11/1995;276651;;1;N;1
8;1;276669;06/11/1995;2;1;;;06/11/1995;276669;;1;N;1
8;1;276677;10/11/1995;2;1;;;10/11/1995;276677;;1;N;1
8;1;276685;06/11/1995;2;1;;;06/11/1995;276685;;1;N;1
8;1;276693;14/11/1995;2;1;;;14/11/1995;276693;;1;N;1
8;1;276707;13/11/1995;2;1;;;13/11/1995;276707;;1;N;1
8;1;276715;13/11/1995;2;1;;;13/11/1995;276715;;1;N;1
8;1;276723;20/11/1995;2;1;;;20/11/1995;276723;;1;N;1
8;1;276740;20/11/1995;2;1;;;20/11/1995;276740;;1;N;1
8;1;276758;20/11/1995;2;1;;;20/11/1995;276758;;1;N;1
8;1;276766;20/11/1995;2;1;;;20/11/1995;276766;;1;N;1
8;1;276774;20/11/1995;2;1;;;20/11/1995;276774;;1;N;1
8;1;276782;03/11/1995;2;1;;;03/11/1995;276782;;1;N;1
8;1;276791;16/11/1995;2;1;;;16/11/1995;276791;;1;N;1
8;1;276804;20/11/1995;2;1;;;20/11/1995;276804;;1;N;1
8;1;276812;18/11/1995;2;1;;;18/11/1995;276812;;1;N;1
8;1;276821;16/11/1995;2;1;;;16/11/1995;276821;;1;N;1
8;1;276839;16/11/1995;2;1;;;16/11/1995;276839;;1;N;1
8;1;276847;16/11/1995;2;1;;;16/11/1995;276847;;1;N;1
8;1;276855;16/11/1995;2;1;;;16/11/1995;276855;;1;N;1
8;1;276863;14/11/1995;2;1;;;14/11/1995;276863;;1;N;1
8;1;276880;16/11/1995;2;1;;;16/11/1995;276880;;1;N;1
8;1;276898;13/11/1995;2;1;;;13/11/1995;276898;;1;N;1
8;1;276910;16/11/1995;2;1;;;16/11/1995;276910;;1;N;1
8;1;276928;16/11/1995;2;1;;;16/11/1995;276928;;1;N;1
8;1;276936;14/11/1995;2;1;;;14/11/1995;276936;;1;N;1
8;1;276944;04/12/1995;2;1;;;04/12/1995;276944;;1;N;1
8;1;276952;01/11/1995;2;1;;;01/11/1995;276952;;1;N;1
8;1;276961;16/11/1995;2;1;;;16/11/1995;276961;;1;N;1
8;1;276979;22/11/1995;2;1;;;22/11/1995;276979;;1;N;1
8;1;276987;17/11/1995;2;1;;;17/11/1995;276987;;1;N;1
8;1;276995;20/11/1995;2;1;;;20/11/1995;276995;;1;N;1
8;1;277002;23/11/1995;2;1;;;23/11/1995;277002;;1;N;1
8;1;277045;04/12/1995;2;1;;;04/12/1995;277045;;1;N;1
8;1;277053;23/11/1995;2;1;;;23/11/1995;277053;;1;N;1
8;1;277070;23/11/1995;2;1;;;23/11/1995;277070;;1;N;1
8;1;277088;23/11/1995;2;1;;;23/11/1995;277088;;1;N;1
8;1;277096;23/11/1995;2;1;;;23/11/1995;277096;;1;N;1
8;1;277100;24/11/1995;2;1;;;24/11/1995;277100;;1;N;1
8;1;277118;23/11/1995;2;1;;;23/11/1995;277118;;1;N;1
8;1;277126;23/11/1995;2;1;;;23/11/1995;277126;;1;N;1
8;1;277134;27/11/1995;2;1;;;27/11/1995;277134;;1;N;1
8;1;277142;27/11/1995;2;1;;;27/11/1995;277142;;1;N;1
8;1;277151;27/11/1995;2;1;;;27/11/1995;277151;;1;N;1
8;1;277169;24/11/1995;2;1;;;24/11/1995;277169;;1;N;1
8;1;277177;23/11/1995;2;1;;;23/11/1995;277177;;1;N;1
8;1;277185;23/11/1995;2;1;;;23/11/1995;277185;;1;N;1
8;1;277193;23/11/1995;2;1;;;23/11/1995;277193;;1;N;1
8;1;277207;23/11/1995;2;1;;;23/11/1995;277207;;1;N;1
