CODIGO;NOME;SIGLA;NUMERO_CNPJ;MES_DATA_BASE;CODIGO_ENTIDADE;ENDERECO;NUMERO_ENDERECO;COMPLEMENTO_ENDERECO;CODIGO_CIDADE;CODIGO_CEP;ENTIDADE_SINDICAL_ALFA
95;SIND. EMP. COM. MONTENEGRO (TRIUNFO);AJUSTAR;90896507000168;3;5179896033;APOLINARIO DE MORAES;950;;4312401;95780000;
96;SIND. EMP. COM. XAXIM;AJUSTAR;02460637000196;9;5164900943;CANDIDO TESTON;355;;4219705;89825000;
98;SIND. EMP. COM. SAO GABRIEL (CACEQUI);AJUSTAR;89498356000100;3;5814875905;RUA JUCA TIGRE;2150;;4318309;97300000;
99;SIND. EMP COM. CAXIAS DO SUL (SAO MARCOS);AJUSTAR;88661699000181;7;5179875702;RUA GARIBALDI;370;;4305108;95080190;
100;SIND. EMP.COM. MONTENEGRO(nao);AJUSTAR;90896507000168;3;5179896033;APOLINARIO DE MORAES;950;;4312401;95780000;
101;SIND. EMP. COM. RIO PARDO (BUTIA);AJUSTAR;91340455000101;3;5179875850;DILSON CELESTE;140;;4315701;96640000;
102;SIND. EMP. COM. PASSO FUNDO (SERAFINA CORREA);AJUSTAR;92046820000132;4;5179875818;MORON;1731;4 ANDAR;4314100;99010033;
103;SIND. TRAB. RURAIS PASSO FUNDO;AJUSTAR;92042993000182;1;;CEL. KRAMER;12;;4314100;99010520;
104;SIND. EMP. COM. RIO GRANDE (STA. VITORIA PALMAR);AJUSTAR;94873940000139;2;5179875842;RUA GENERAL BACELAR;179;;4315602;96200000;
105;SIND. EMP. COM. BENTO GONCALVES (VERANOPOLIS);AJUSTAR;89341093000121;3;5179012224;AVENIDA OSVALDO ARANHA;1075;SALA 305;4302105;95700000;
106;SIND. EMP. COM. CACHOEIRA DO SUL;AJUSTAR;87775235000133;5;5179875680;SENADOR PINHEIRO MACHADO;1136;;4303004;96508022;
107;SIND. EMP. COM. CARAZINHO (ESPUMOSO - CHAPADA);AJUSTAR;87447413000105;5;5179014227;ALEXANDRE MOTTA;540;3 ANDAR;4304705;99500000;
108;SIND. EMP. COM. STO ANTONIO DA PATRULHA (ROLANTE);AJUSTAR;91310425000152;6;51790420906;CORONEL VICENTE GOMES;01;;4317608;95500000;
109;SIND. EMP. COM. CACHOEIRA DO SUL (nao);AJUSTAR;87775235000133;5;5179875680;RUA ANIBAL LOUREIRO;155;;4303004;96506770;
110;SIND. EMP. COM. CARAZINHO (NAO ME TOQUE);AJUSTAR;87447413000105;5;5179014227;ALEXANDRE MOTTA;540;;4304705;99500000;
111;SIND.EMP.COM.STA CRUZ DO SUL(ARRIO DO TIGRE, SOBRAD,SALTO J);AJUSTAR;95438800000103;3;5179875869;RUA CAPITAO FERNANDO TATCH;424;;4316808;96810040;
112;SIND. EMP. COM. CANELA (SAO FRANCISCO DE PAULA);AJUSTAR;90934431000118;3;5179875699;BATISTA LUZARDO;291;;375;95680000;
113;SIND.EMP.COM.GUAIBA (CHARQUEADAS);AJUSTAR;93205029000190;3;5179898150;RUA GUAIBA;10;;4309308;92500000;
114;SIND. EMP. COM. DE SANTA ROSA (SANTO CRISTO);AJUSTAR;90863663000122;3;5179015932;ANTONIO CARLOS BORGES;90;;4317202;98900000;
115;SIND. EMP. COM. PONTA GROSSA (PRUDENTOPOLIS);AJUSTAR;80251481000147;5;5158884311;RUA GENERAL CARNEIRO;740;;4119905;84010000;
116;SIND. EMP. COM. PONTA GROSSA (PALMEIRA);AJUSTAR;80251481000147;5;5158884311;RUA GENERAL CARNEIRO;740;;4119905;84010000;
117;SIND. EMP. COM. CURITIBANOS;AJUSTAR;05275341000193;8;565164972150;ARCHIAO GANZ;510;;4204806;89520000;
118;SIND. EMP. COM. LAGOA VERMELHA (SANANDUVA);AJUSTAR;87682738000164;3;5179042409;SETE DE SETEMBRO;895;;4311304;95300000;
119;SIND.EMP. COM. VAR. ATAC. SIM. VIDEIRA;AJUSTAR;83608950000120;1;;MAL FLORRIANO PEIXOTO;32;;4219309;89560000;
120;SIND. EMP. COM. SAO SEBASTIAO DO CAI;AJUSTAR;90874652000148;3;5179875923;SENADOR PINHEIRO MACHADO;1533;cx postal 71;4319505;95760000;
121;SIND. EMP. COM. SARANDI (CONSTANTINA,RONDA ALTA);AJUSTAR;93237915000104;5;5179044501;ARMINIO DA SILVA;1435;SALA 09;4320107;99560000;
122;SIND. EMP. COM. SAPIRANGA (NOVA HARTZ);AJUSTAR;93241644000152;10;51790430066;XV DE NOVEMBRO;338;;4319901;93800000;
123;SIND. EMP. COM. STO ANTONIO DA PATRULHA;AJUSTAR;91310425000152;6;5179042096;CORONEL VICENTE GOMES;01;;4317608;95500000;
124;SIND. EMP. COM. DE PONTA GROSSA (IMBITUVA);AJUSTAR;80251481000147;5;5158884311;RUA GENERAL CARNEIRO;740;;4119905;84010000;
125;SIND. EMP. COM. FRANCISCO BELTRAO (CAPANEMA);AJUSTAR;78123999000153;6;565000884223;RUA PERNAMBUCO;111;;4108403;85601300;
126;SIND. TRAB. COM. VAR. SAO LORENCO DO OESTE;AJUSTAR;01846706000131;8;565164972087;DAS PALMEIRAS;14;;4216909;89990000;
127;SIND. EMP. COM. PONTA GROSSA (IRATI);AJUSTAR;80251481000147;5;5158884311;RUA GENERAL CARNEIRO;740;;4119905;84010000;
128;SIND. EMP. COM. SANTA CRUZ DO SUL (VERA CRUZ);AJUSTAR;95438800000103;3;5179875869;RUA CAPITAO FERNANDO TATCH;424;;4316808;96810040;
129;SIND. EMP. COM. STO ANTONIO DA PATRULHA (OSORIO/TRAMANDAI));AJUSTAR;91310425000152;6;5179042096;CORONEL VICENTE GOMES;01;;4317608;95000099;
130;SIND. EMP. COM. ERECHIM (GETULIO VARGAS);AJUSTAR;90868662000170;6;5179875737;SANTO DAL BOSCO;146;;4307005;99700460;
131;SIND. EMP. COM. SANTA CRUZ DO SUL (VENANCIO AIRES);AJUSTAR;95438800000103;3;5179875809;RUA CAPITAO FERNANDO TATCH;424;;4316808;96810040;
132;SIND.EMP.COM.EXT.OESTE SC (MARAVILHA);AJUSTAR;78472032000187;5;565164018838;SANTOS DUMONT;300;SALA 201;4217204;89900000;
133;SIND. EMP. COM. PELOTAS (SAO LOURENCO DO SUL);AJUSTAR;92236793000160;3;5179875826;RUA VOLUNTARIOS DA PATRIA;1074;;4314407;96015730;
134;SIND. EMP. COM. DE VIAMAO;AJUSTAR;91337147000127;3;5176042816;JORGE KALIL FLORES;241;;4323002;94410230;
135;SIND. EMP. COM. RIO PARDO;AJUSTAR;91340455000101;3;5179875850;DILSON CELESTE DA ROSA;140;;4315701;96640000;
136;SIND. EMP. COM. CHAPECO;AJUSTAR;83017830000159;9;56564130728;RUA LEOBERTO LEAL;58;;4204202;89802140;
137;SIND. EMP. COM. TAQUARI;AJUSTAR;08666045000101;3;5179975979;GENERAL OSORIO;2274;;4321303;95860000;
138;SIND. EMP. COM. CANOINHAS (MAFRA);AJUSTAR;83785733000106;5;914565164130689;RUA RUI BARBOSA;393;;4203808;89460000;
139;SIND.TRAB.COM.VAR. CASTRO (PIRAI DO SUL);AJUSTAR;86878063000160;5;5158904916;BENJAMIN CONSTANT;22;;1207;84165220;
140;SIND. EMP. COM. PASSO FUNDO (GZT);AJUSTAR;92046820000132;4;5179875818;MOROM;1731;401;4314100;99010033;
141;SIND. EMP. COM. TAQUARI ( TEUTONIA );AJUSTAR;08666045000101;3;5179975979;GENERAL OSORIO;2274;;4321303;95860000;
142;SIND. EMP. COM. SANTA CRUZ DO SUL(CANDELARIA);AJUSTAR;95438800000103;5;5179875869;RUA CAPITAO FERNANDO TATCH;424;;4316808;96810040;
143;SIND.EMP.COM.XANXERE (ABELARDO LUZ/ SAO DOMINGOS/FAXINAL );AJUSTAR;78480316000115;8;565164019835;RUA VICTOR KONDER;895;SALA 203;4219507;89820000;
144;SIND.EMP.COM.TAQUARA;AJUSTAR;91110585000158;3;5179029445;RUA ALFREDO FELIPE KRAEMER;424;;4321204;95600000;
145;SIND. EMP. COM. XANXERE (FAXINAL DOS GUEDES);AJUSTAR;78480316000115;8;914565164019834;RUA VICTOR KONDER;899;SALA 108;4219507;89820000;
146;SIND.EMP.COM.LAGES(CORREIA PINTO/OTACILIO COSTA);AJUSTAR;82790312000100;5;;RUA MARECHAL DEODORO;773;;4209300;88501001;
148;SIND. EMP. COM. CAMAQUA;AJUSTAR;90152422000175;6;5179042425;RUA LUIZA MARAWINCHE;920;1 ANDAR;4303509;96180000;
149;SIND. EMP. COM. ENCANTADO;AJUSTAR;07435459000167;3;5814974369;JULIO DE CASTILHOS;1235;SALA 208;4306809;95960000;
150;SIND.EMP.COM.JULIO DE CASTILHOS;AJUSTAR;11126429000146;3;911005179989468;MIGUEL WAIRICH FILHO;425;;4311205;98130000;
151;SIND. EMP. COM. TAPERA;AJUSTAR;90161993000176;5;;CORONEL GERVASIO;110;;4321006;99490000;
152;SIND.EMP.COM.JULIO DE CASTILHOS(AGU,FAX SOTUR);AJUSTAR;11126429000146;5;911005179989468;MIGUEL WAIRICH FILHO;425;;4311205;98130000;
153;SIND. EMP. COM. SAPIRANGA;AJUSTAR;93241644000152;10;51790430066;;;;;;
154;SIND.EMP.COM.SAO JERONIMO(TAPES);AJUSTAR;13745915000178;3;5814988823;CORONEL SOARES DE CARVALHO;590;SALA 01;4318408;96700000;
155;SIND.EMP.COM.JULIO DE CASTILHOS(TUPANCIRETA);AJUSTAR;11126429000146;3;911005179989468;MIGUEL WAIRICH FILHO;425;;4311205;98130000;
156;SIND.EMP.COM.SAO JERONIMO;AJUSTAR;13745915000178;3;5814988823;CORONEL SOARES DE CARVALHO;590;SALA 01;4318408;96700000;
158;SENALBA - Sind. Emp. Ent. Cult. Assis. Soc. Orien.;AJUSTAR;92410349000110;4;80001084036;AV.BRASIL;253;SALA 02;4314100;99010060;
159;SIND.EMP.COM.JAGUARAO (ARROIO GRANDE);AJUSTAR;90962382000127;8;5179875770;RUA JULIO DE CASTILHOS;395;;4311007;96300000;
160;SIND. TRAB. NAS IND. DA CONST. MOB. CANGUCU;AJUSTAR;91990200000194;5;;GENERAL CAMARA;1820;APT 02;4304507;96600000;
161;SIND. EMP. COM. JOACABA (HERVAL D OESTE);AJUSTAR;84590934000110;7;5164130692;RUA FREI ROGERIO;525;;4209003;89600000;
162;SIND. EMP. COM. SAO FRANCISCO DE ASSIS(JAGUARI);AJUSTAR;91551028000172;6;5179042808;RUA IPIRANGA;89;;4318101;97610000;
163;FED.TRAB.COM.EST.RS (NONOAI, PALMITINHO, PLANALTO, ARVOR);AJUSTAR;92832690000163;3;5179000005;;;;;;
164;SIND. EMP. COM. DE RIO DO SUL ( POUSO REDONDO );AJUSTAR;85787562000180;5;23531254;COELHO NETO;75;4 ANDAR;4214805;89160001;
165;SIND. EMP. COM. SANTA ROSA (ALECRIM E TUPARENDI);AJUSTAR;90863663000122;6;5179015932;;;;;;
166;FED.TRAB.COM.EST.RS (SÃO PEDRO DO SUL);AJUSTAR;92832690000163;3;;;;;;;
167;FEDERAÇÃO RS(BARROS CASSAL);AJUSTAR;92832690000163;3;5179000005;RUA DOS ANDRADAS;943;SALA 701;4314902;90020005;
168;FEDERAÇÃO RS(FONTOURA XAVIER);AJUSTAR;92832690000163;3;5179000005;RUA DOS ANDRADAS;943;SALA 701;4314902;90020005;
169;SIND COM VAREJ DO ALTO URUGUAI(GAURAMA);AJUSTAR;89109961000142;3;;NELSON EHLERS;148;APTO 06;4307005;99700000;
170;SIND. EMP. COM. DE CRICIUMA (MORRO DA FUMAÇA);AJUSTAR;83662924000180;5;5164130625;AVENIDA GETULIO VARGAS;485;;4204608;88809476;
171;SIND.EMP.COM.FOZ DO IGUAÇU(SÃO MIGUEL DO IGUAÇU);AJUSTAR;75423723000100;6;;;;;;;
