ESTCAR;CODCAR;TITRED;TITCAR;CODCB2;DATCRI;DATEXT;CNHOBR;OCLOBR;CODSIG
1;41;ELETRECISTA;ELETRECISTA;7156-15;2025-12-22;;;;
1;45;SECRETARIA;SECRETARIA;2523-05;2025-12-22;;;;
1;46;ENCARREGADO DIGITACAO;ENCARREGADO DIGITACAO;4121-20;2025-12-22;;;;
1;47;CAIXA (ADM);CAIXA (ADM);4211-25;2025-12-22;;;;
1;52;ARQUIVISTA;ARQUIVISTA;2613-05;2025-12-22;;;;
1;54;AUXILIAR DE PESSOAL I;AUXILIAR DE PESSOAL I;4110-30;2025-12-22;;;;
1;55;AUXILIAR DE PESSOAL II;AUXILIAR DE PESSOAL II;4110-30;2025-12-22;;;;
1;56;AUXILIAR DE PESSOAL III;AUXILIAR DE PESSOAL III;4110-30;2025-12-22;;;;
1;60;AUXILIAR DE DISTRIBUICAO;AUXILIAR DE DISTRIBUICAO;7832-10;2025-12-22;;;;
1;61;AUXILIAR DE DISTRIBUICAO II;AUXILIAR DE DISTRIBUICAO II;7832-10;2025-12-22;;;;
1;62;AUXILIAR DE DISTRIBUICAO III;AUXILIAR DE DISTRIBUICAO III;7832-10;2025-12-22;;;;
1;64;DIGITADOR;DIGITADOR;4121-10;2025-12-22;;;;
1;65;TELEFONISTA;TELEFONISTA;4222-05;2025-12-22;;;;
1;66;AUXILIAR ALMOXARIFADO;AUXILIAR ALMOXARIFADO;4141-05;2025-12-22;;;;
1;67;GUARDA DE SEGURANCA;GUARDA DE SEGURANCA;5173-30;2025-12-22;;;;
1;69;AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVICOS GERAIS;5142-25;2025-12-22;;;;
1;70;JARDINEIRO;JARDINEIRO;6220-10;2025-12-22;;;;
1;71;MENOR APRENDIZ;MENOR APRENDIZ;4110-05;2025-12-22;;;;
1;72;MOTORISTA;MOTORISTA;7823-05;2025-12-22;;;;
1;73;DIGITADOR FREE;DIGITADOR FREE;4121-10;2025-12-22;;;;
1;74;APRENDIZ ADM/LOJAS;APRENDIZ ADM/LOJAS;4110-10;2025-12-22;;;;
1;75;APRENDIZ CIE-E;APRENDIZ CIE-E;4110-05;2025-12-22;;;;
1;77;GERENTE DE LOJA A;GERENTE DE LOJA A;1414-15;2025-12-22;;;;
1;78;GERENTE DE LOJA B;GERENTE DE LOJA B;1414-15;2025-12-22;;;;
