COD_EMP;FIXO1;COD_CONTRATO;DATA_INICIO;COD_CLH;COD_FUN_CARGO;COD_MOTIVO
8;1;345296;01/02/2002;210;;100
8;1;373400;25/04/2005;206;;100
8;1;373419;25/04/2005;206;;100
8;1;373427;25/04/2005;206;;100
8;1;373800;01/09/2005;206;;100
8;1;373800;16/05/2005;204;;100
8;1;373818;16/05/2005;204;;100
8;1;374091;08/06/2005;68;;100
8;1;355437;21/09/2005;89;;100
8;1;355437;13/10/2003;206;;100
8;1;375020;22/08/2005;206;;100
8;1;375039;22/08/2005;206;;100
8;1;375047;22/08/2005;206;;100
8;1;375373;26/09/2005;204;;100
8;1;375381;26/09/2005;204;;100
276;1;364908;01/07/2004;3;;100
276;1;364916;01/07/2004;4;;100
276;1;364924;01/07/2004;5;;100
276;1;364932;01/07/2004;1;;100
276;1;261564;01/08/2004;245;;100
276;1;261564;01/08/1996;122;;100
276;1;261564;01/01/1996;104;;100
276;1;261564;01/08/1994;109;;100
276;1;364797;15/07/2004;239;;100
276;1;364800;20/07/2004;238;;100
276;1;364819;01/11/2004;238;;100
276;1;364819;13/07/2004;237;;100
276;1;364827;20/07/2004;241;;100
276;1;364835;20/07/2004;242;;100
276;1;364843;15/07/2004;235;;100
276;1;364851;15/07/2004;244;;100
276;1;364860;13/07/2004;244;;100
276;1;364878;20/07/2004;244;;100
276;1;364886;15/07/2004;235;;100
276;1;364894;15/07/2004;237;;100
276;1;364940;02/08/2004;238;;100
276;1;364959;02/08/2004;244;;100
276;1;366072;14/10/2004;235;;100
276;1;366439;01/10/2004;128;;100
276;1;370010;01/12/2004;246;;100
276;1;371734;01/01/2005;247;;100
276;1;372200;01/02/2005;181;;100
276;1;372218;01/02/2005;181;;100
276;1;372226;01/02/2005;181;;100
276;1;372234;01/02/2005;181;;100
276;1;372250;01/02/2005;68;;100
276;1;372269;03/02/2005;68;;100
276;1;372277;03/02/2005;68;;100
276;1;372285;03/02/2005;248;;100
276;1;372595;01/03/2005;181;;100
276;1;372676;09/03/2005;68;;100
276;1;372730;01/03/2005;249;;100
276;1;372757;07/03/2005;241;;100
276;1;373303;01/04/2005;68;;100
276;1;373869;10/05/2005;239;;100
276;1;373877;17/05/2005;181;;100
276;1;374022;01/02/2005;68;;100
276;1;374067;02/06/2005;181;;100
276;1;374717;13/07/2005;24;;100
276;1;375055;22/08/2005;181;;100
276;1;375390;20/09/2005;181;;100
276;1;80352;16/12/2004;168;;100
282;1;271951;01/10/2004;148;;100
282;1;271951;23/11/1997;153;;100
282;1;271951;01/12/1995;154;;100
282;1;271951;01/05/1995;32;;100
282;1;366951;01/07/2004;3;;100
282;1;366960;01/07/2004;127;;100
282;1;373486;01/04/2005;1;;100
8;1;19;01/01/1990;3;;100
8;1;78;01/03/1990;4;;100
8;1;141;01/01/1990;60;;100
8;1;2968;04/12/1974;27;;100
8;1;6947;01/05/1994;5;;100
8;1;6970;01/04/1997;58;;100
8;1;6970;01/05/1991;178;;100
8;1;6970;01/05/2004;172;;100
8;1;6970;01/06/1985;225;;100
8;1;6970;01/06/2001;170;;100
8;1;6970;01/08/2002;171;;100
8;1;8150;01/01/1990;5;;100
8;1;14290;01/03/1987;30;;100
8;1;53970;01/01/1990;178;;100
8;1;53970;07/11/1996;109;;100
8;1;57941;24/09/1996;27;;100
8;1;59323;01/07/1991;27;;100
8;1;59323;01/11/1991;26;;100
276;1;67563;01/01/1990;68;;100
8;1;71838;24/09/1996;14;;100
4;1;80097;02/08/1999;75;;100
4;1;80098;02/08/1999;75;;100
4;1;80141;20/11/2001;60;;100
4;1;80357;16/03/2005;63;;100
4;1;80358;16/03/2005;63;;100
8;1;93921;01/01/1990;107;;100
6;1;100000;18/05/1989;3;;100
6;1;100022;18/05/1989;3;;100
8;1;112577;24/09/1996;225;;100
8;1;123978;24/09/1996;225;;100
8;1;140066;01/10/1997;197;;100
8;1;140066;24/09/1996;102;;100
8;1;160784;01/07/1997;190;;100
8;1;160784;01/09/1990;191;;100
8;1;212768;01/07/1993;98;;100
8;1;212768;01/12/1990;224;;100
8;1;212768;11/03/1997;190;;100
8;1;226840;01/01/1994;192;;100
8;1;226840;01/03/1996;190;;100
8;1;226840;01/11/1991;224;;100
8;1;226840;01/12/1992;96;;100
8;1;263231;24/09/1996;224;;100
8;1;270971;24/09/1996;224;;100
8;1;274810;24/09/1996;224;;100
8;1;274852;24/09/1996;224;;100
8;1;280399;24/09/1996;103;;100
8;1;281778;24/09/1996;224;;100
8;1;283592;24/09/1996;67;;100
8;1;284441;24/09/1996;122;;100
8;1;285307;24/09/1996;122;;100
8;1;285439;24/09/1996;122;;100
8;1;289310;01/10/1996;224;;100
8;1;304778;03/11/1997;190;;100
8;1;306614;20/12/1997;103;;100
8;1;340812;17/09/2001;219;;100
8;1;349100;13/11/2002;204;;100
8;1;356263;20/11/2003;219;;100
8;1;356603;10/12/2003;204;;100
