codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_centro_custos
4;1;383672;15/01/14;001
4;1;383792;05/02/14;003
4;1;383793;05/02/14;002
4;1;383794;05/02/14;002
4;1;383794;08/06/17;002
4;1;383794;15/02/23;001
4;1;383794;16/02/16;001
4;1;383795;05/02/14;002
4;1;383796;05/02/14;003
4;1;383796;16/02/16;001
4;1;383797;05/02/14;002
4;1;383797;13/06/17;002
4;1;383797;16/02/16;001
4;1;383798;05/02/14;003
4;1;383799;05/02/14;003
4;1;383800;05/02/14;003
4;1;383801;05/02/14;003
4;1;383909;26/02/14;003
4;1;383995;17/03/14;002
4;1;384000;17/03/14;002
4;1;384080;01/04/14;003
4;1;384081;01/04/14;002
4;1;384082;01/04/14;003
4;1;384083;01/04/14;003
4;1;384377;16/06/14;003
4;1;384383;16/02/16;001
4;1;384383;16/06/14;003
4;1;384530;04/08/14;002
4;1;384531;01/05/17;001
4;1;384531;02/03/22;003
4;1;384531;04/08/14;003
4;1;384531;16/02/16;001
4;1;384531;18/12/23;350
4;1;384532;04/08/14;003
4;1;384717;03/11/15;003
4;1;384717;11/09/14;002
4;1;384717;13/06/17;002
4;1;384718;11/09/14;002
4;1;384778;13/10/14;003
4;1;384779;13/10/14;003
4;1;384780;13/10/14;002
4;1;385138;05/02/15;003
4;1;385138;16/02/16;001
4;1;385139;05/02/15;002
4;1;385147;05/02/15;002
4;1;385153;05/02/15;003
4;1;385153;16/02/16;001
4;1;385154;05/02/15;003
4;1;385155;05/02/15;002
4;1;385156;05/02/15;003
4;1;385157;05/02/15;002
4;1;385157;08/06/17;003
4;1;385157;16/02/16;001
4;1;385158;05/02/15;002
4;1;385579;01/09/15;002
4;1;385579;02/08/19;002
4;1;385579;16/02/16;001
4;1;385761;01/07/25;001
4;1;385788;01/07/25;001
4;1;385867;01/02/16;002
4;1;385867;16/02/16;001
4;1;385868;01/02/16;003
4;1;385868;16/02/16;001
4;1;385869;01/02/16;002
4;1;385869;16/02/16;001
4;1;385870;01/02/16;002
4;1;385870;16/02/16;001
4;1;385871;01/02/16;003
4;1;385871;16/02/16;001
4;1;385916;14/03/16;001
4;1;385917;14/03/16;001
4;1;385918;14/03/16;001
4;1;386218;02/03/21;001
4;1;386268;01/07/21;003
4;1;386268;08/09/16;001
4;1;386527;01/02/17;001
4;1;386528;01/02/17;001
4;1;386529;01/02/17;001
4;1;386529;18/06/18;001
4;1;386530;01/02/17;001
4;1;386530;01/05/25;002
4;1;386530;06/02/23;350
4;1;386530;13/01/23;350
4;1;386530;15/01/20;002
4;1;386530;18/08/22;001
4;1;386531;01/02/17;001
4;1;386532;01/02/17;001
4;1;386571;22/02/17;001
4;1;386572;15/02/18;002
4;1;386572;22/02/17;001
4;1;386573;22/02/17;001
4;1;386576;01/06/18;003
4;1;386576;22/02/17;001
4;1;386579;22/02/17;001
4;1;386801;22/05/17;001
4;1;386870;07/08/17;001
4;1;386879;07/08/17;001
4;1;387189;11/10/17;001
4;1;387199;16/10/17;001
4;1;387251;30/10/17;001
4;1;387349;08/01/18;001
4;1;387349;16/08/19;002
4;1;387372;08/01/18;001
4;1;387375;08/01/18;001
4;1;387394;01/07/21;001
4;1;387394;03/06/19;001
4;1;387394;03/08/20;003
4;1;387394;06/02/23;350
4;1;387394;08/01/18;001
4;1;387394;13/01/23;350
4;1;387394;20/03/23;002
4;1;387399;08/01/18;001
4;1;387406;08/01/18;001
4;1;387473;07/02/18;001
4;1;387480;07/02/18;001
4;1;387481;07/02/18;001
4;1;387482;03/06/19;001
4;1;387482;07/02/18;001
4;1;387482;11/01/19;002
4;1;387482;27/06/22;001
4;1;387483;07/02/18;001
4;1;387484;07/02/18;001
4;1;387485;07/02/18;001
4;1;387521;16/02/18;001
4;1;387523;16/02/18;001
4;1;387688;05/04/18;001
4;1;387691;05/04/18;001
4;1;387837;20/01/20;002
4;1;387942;02/09/21;003
4;1;387942;03/08/20;001
4;1;387942;13/01/20;001
4;1;387994;08/08/18;002
4;1;387995;01/08/18;001
4;1;387995;21/01/19;002
4;1;387996;01/08/18;001
4;1;387996;10/06/19;002
4;1;388063;17/09/18;001
4;1;388069;17/09/18;001
4;1;388074;17/09/18;001
4;1;388083;11/01/19;001
4;1;388083;28/08/18;001
4;1;388253;05/03/20;002
4;1;388253;19/11/19;001
4;1;388253;22/10/18;002
4;1;388333;05/08/25;350
4;1;388333;12/11/18;001
4;1;388484;21/01/19;001
4;1;388489;01/10/19;001
4;1;388489;11/01/21;002
4;1;388525;11/02/19;001
4;1;388526;11/02/19;001
4;1;388527;11/02/19;001
4;1;388528;04/12/20;002
4;1;388528;11/02/19;001
4;1;388531;11/02/19;001
4;1;388532;03/02/20;003
4;1;388532;04/08/21;002
4;1;388532;11/02/19;001
4;1;388534;11/02/19;001
4;1;388557;06/03/19;001
4;1;388558;06/03/19;001
4;1;388559;06/03/19;001
4;1;388562;06/03/19;001
4;1;388564;06/03/19;001
4;1;388569;06/03/19;001
4;1;388570;01/10/19;001
4;1;388570;06/03/19;001
4;1;388570;19/01/22;002
4;1;388576;06/03/19;001
4;1;388577;06/03/19;001
4;1;388578;06/03/19;001
4;1;388658;01/04/19;001
4;1;388658;06/02/23;350
4;1;388658;06/08/19;002
4;1;388658;13/01/23;350
4;1;388658;16/08/21;001
